paper_id,paper_name,paper_type,wrapper_path,availability_status,wrapper_status,phase_mapping_status,binary_path,data_path,smoke_status,correctness_status,notes
bp_2,BP-2,M,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,actual_pass,smoke_pass,Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
bfs,bfs,M,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,available,ready,inferred,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/bfs.out,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs/data/tiny_graph.txt,dry_run_pass,smoke_pass,Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,actual_pass,smoke_pass,Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
histo_3,histo-3,M,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,actual_pass,smoke_pass,Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
kmeans_1,kmeans-1,M,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,actual_pass,smoke_pass,Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
spmv,spmv,M,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,available,ready,inferred,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,,dry_run_pass,smoke_pass,Local Parboil SpMV tiny wrapper
srad_1,srad-1,M,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,actual_pass,smoke_pass,Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
srad_2,srad-2,M,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,actual_pass,smoke_pass,Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
bp_1,BP-1,C,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,actual_pass,smoke_pass,Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
histo_2,histo-2,C,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,actual_pass,smoke_pass,Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
kmeans_2,kmeans-2,C,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,available,ready,app_level_pending_kernel_trace,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,actual_pass,smoke_pass,Local kmeans app exists but kmeans-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace
mri_q,mri-q,C,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,available,ready,inferred,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data/tiny.bin,dry_run_pass,smoke_pass,Local Parboil mri-q tiny wrapper
pathfinder,pathfinder,C,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,available,ready,inferred,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,,dry_run_pass,smoke_pass,Local Rodinia pathfinder tiny wrapper
sgemm,sgemm,C,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,available,ready,inferred,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,,dry_run_pass,smoke_pass,Local Parboil SGEMM tiny wrapper
stencil,stencil,C,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,available,ready,inferred,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data/tiny.bin,dry_run_pass,smoke_pass,Local Parboil stencil tiny wrapper
