paper_id,paper_name,paper_type,app,phase_mapping_status_before_w18,phase_mapping_status_after_w18,mapping_confidence,local_launch_index,local_kernel_uid,local_kernel_name,grid,block,evidence,notes
bp_2,BP-2,M,backprop,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,2,2,_Z24bpnn_adjust_weights_cudaPfiS_iS_S_,"(1,16,1)","(16,16,1)",paper_id trace has 2 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
bfs,bfs,M,bfs,inferred,inferred,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,histo,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,1,1,_Z20histo_prescan_kernelPjiS_,"(64,1,1)","(512,1,1)",paper_id trace has 4 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
histo_3,histo-3,M,histo,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,3,3,_Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_,"(14,1,1)","(768,1,1)",paper_id trace has 4 begin lines; suffix index 3 selected,Proposed mapping only; requires GPT review before canonical manifest update.
kmeans_1,kmeans-1,M,kmeans,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,1,1,_Z14invert_mappingPfS_ii,"(1,1,1)","(256,1,1)",paper_id trace has 5 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
lbm,lbm,M,lbm,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil lbm source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_1,leuko-1,M,leuko,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_1,mrig-1,M,mrig,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mrig_2,mrig-2,M,mrig,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mummer,mummer,M,mummer,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia mummergpu source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
particle,particle,M,particle,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sad_2,sad-2,M,sad,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
spmv,spmv,M,spmv,inferred,inferred,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Local Parboil SpMV tiny wrapper
srad_1,srad-1,M,srad,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,1,1,_Z11srad_cuda_1PfS_S_S_S_S_iif,"(4,4,1)","(16,16,1)",paper_id trace has 2 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
srad_2,srad-2,M,srad,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,2,2,_Z11srad_cuda_2PfS_S_S_S_S_iiff,"(4,4,1)","(16,16,1)",paper_id trace has 2 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
bp_1,BP-1,C,backprop,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,1,1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,"(1,16,1)","(16,16,1)",paper_id trace has 2 begin lines; suffix index 1 selected,Proposed mapping only; requires GPT review before canonical manifest update.
cutcp,cutcp,C,cutcp,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
histo_2,histo-2,C,histo,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,2,2,_Z26histo_intermediates_kernelP5uint2jjjP6uchar4,"(2,1,1)","(32,1,1)",paper_id trace has 4 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
histogram,histogram,C,histogram,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,No local histogram source or wrapper; W17A found no complete local source
kmeans_2,kmeans-2,C,kmeans,app_level_pending_kernel_trace,mapped_by_launch_order,inferred_order,2,2,_Z11kmeansPointPfiiiPiS_S_S0_,"(1,1,1)","(256,1,1)",paper_id trace has 5 begin lines; suffix index 2 selected,Proposed mapping only; requires GPT review before canonical manifest update.
lavamd,lavaMD,C,lavamd,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_2,leuko-2,C,leuko,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_3,leuko-3,C,leuko,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mri_q,mri-q,C,mri,inferred,inferred,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Local Parboil mri-q tiny wrapper
mrig_3,mrig-3,C,mrig,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
pathfinder,pathfinder,C,pathfinder,inferred,inferred,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Local Rodinia pathfinder tiny wrapper
sad_1,sad-1,C,sad,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sgemm,sgemm,C,sgemm,inferred,inferred,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Local Parboil SGEMM tiny wrapper
stencil,stencil,C,stencil,inferred,inferred,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Local Parboil stencil tiny wrapper
tpacf,tpacf,C,tpacf,unavailable,unavailable,not_w18_target,,,,,,not in W17 app_level_pending_kernel_trace target set,Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
