paper_id,paper_name,paper_type,paper_suite,paper_app,paper_kernel_or_phase,paper_inst_per_l1_miss,wrapper_path,wrapper_status,availability_status,phase_mapping_status_w18,phase_mapping_confidence_w18,local_launch_index,local_kernel_name,measurement_scope,selected_for_w24,selection_reason,correctness_status_prior,notes
bp_2,BP-2,M,Rodinia,backprop,phase_2,19,experiments/paper-mascar/workloads/wrappers/run_bp_2.sh,ready,available,mapped_by_launch_order,inferred_order,2,_Z24bpnn_adjust_weights_cudaPfiS_iS_S_,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
bfs,bfs,M,Rodinia,bfs,whole_app,2.4,experiments/paper-mascar/workloads/wrappers/run_bfs.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Rodinia BFS tiny wrapper; Local Rodinia BFS tiny wrapper; Local Rodinia BFS tiny wrapper
histo_1,histo-1,M,Parboil,histo,phase_1,15.3,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,ready,available,mapped_by_launch_order,inferred_order,1,_Z20histo_prescan_kernelPjiS_,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
histo_3,histo-3,M,Parboil,histo,phase_3,14.3,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,ready,available,mapped_by_launch_order,inferred_order,3,_Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-3 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
kmeans_1,kmeans-1,M,Rodinia,kmeans,phase_1,0.27,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,ready,available,mapped_by_launch_order,inferred_order,1,_Z14invert_mappingPfS_ii,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local kmeans app exists but kmeans-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
spmv,spmv,M,Parboil,spmv,whole_app,4.2,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper
srad_1,srad-1,M,Rodinia,srad,phase_1,25,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,ready,available,mapped_by_launch_order,inferred_order,1,_Z11srad_cuda_1PfS_S_S_S_S_iif,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
srad_2,srad-2,M,Rodinia,srad,phase_2,22,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,ready,available,mapped_by_launch_order,inferred_order,2,_Z11srad_cuda_2PfS_S_S_S_S_iiff,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
bp_1,BP-1,C,Rodinia,backprop,phase_1,107,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,ready,available,mapped_by_launch_order,inferred_order,1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
histo_2,histo-2,C,Parboil,histo,phase_2,35.9,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,ready,available,mapped_by_launch_order,inferred_order,2,_Z26histo_intermediates_kernelP5uint2jjjP6uchar4,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
